Identifier, Groundtruth, Estimate
siwirora_speed5_yaw11_wind6_off1_noise7.png, 11, 26.5
siwirora_speed6_yaw9_wind3_off1_noise8.png, 9, 21.2
siwirora_speed5_yaw11_wind3_off1_noise4.png, 11, 31.2
siwirora_speed7_yaw3_wind3_off2_noise3.png, 3, -27.7
siwirora_speed3_yaw11_wind4_off2_noise4.png, 11, 25.2
siwirora_speed1_yaw7_wind1_off1_noise6.png, 7, 1.8
siwirora_speed8_yaw8_wind2_off1_noise1.png, 8, 15.9
siwirora_speed5_yaw11_wind5_off1_noise2.png, 11, 14.5
siwirora_speed5_yaw2_wind6_off1_noise5.png, 2, -28.7
siwirora_speed6_yaw6_wind1_off2_noise5.png, 6, -7.2
siwirora_speed3_yaw2_wind4_off1_noise8.png, 2, -12.5
siwirora_speed6_yaw2_wind1_off1_noise3.png, 2, -26.3
siwirora_speed1_yaw5_wind6_off1_noise4.png, 5, -8.1
siwirora_speed5_yaw10_wind5_off1_noise3.png, 10, 13.7
siwirora_speed5_yaw7_wind5_off2_noise3.png, 7, -2.3
siwirora_speed4_yaw8_wind6_off2_noise5.png, 8, 8.3
siwirora_speed2_yaw1_wind2_off2_noise2.png, 1, -18.6
siwirora_speed5_yaw5_wind1_off1_noise7.png, 5, -16.3
siwirora_speed5_yaw3_wind1_off2_noise1.png, 3, -21.6
siwirora_speed6_yaw9_wind6_off1_noise7.png, 9, 20.8
siwirora_speed2_yaw8_wind6_off2_noise1.png, 8, 2.0
siwirora_speed5_yaw4_wind5_off1_noise5.png, 4, -17.6
siwirora_speed5_yaw6_wind1_off2_noise6.png, 6, -8.5
siwirora_speed4_yaw11_wind5_off1_noise5.png, 11, 21.3
siwirora_speed3_yaw3_wind6_off2_noise4.png, 3, -13.4
siwirora_speed2_yaw5_wind4_off1_noise6.png, 5, 4.8
siwirora_speed7_yaw9_wind3_off2_noise3.png, 9, 13.5
siwirora_speed7_yaw11_wind4_off1_noise1.png, 11, 37.9
siwirora_speed9_yaw2_wind2_off1_noise2.png, 2, -32.7
siwirora_speed1_yaw10_wind6_off2_noise5.png, 10, 8.8
siwirora_speed6_yaw8_wind4_off2_noise5.png, 8, -3.6
siwirora_speed8_yaw1_wind1_off2_noise5.png, 1, -35.3
siwirora_speed2_yaw2_wind4_off2_noise5.png, 2, -14.7
siwirora_speed4_yaw6_wind1_off2_noise7.png, 6, -7.5
siwirora_speed2_yaw3_wind5_off1_noise5.png, 3, -8.5
siwirora_speed2_yaw8_wind6_off1_noise4.png, 8, 1.1
siwirora_speed8_yaw9_wind3_off2_noise1.png, 9, 21.9
siwirora_speed7_yaw9_wind3_off1_noise2.png, 9, 20.1
siwirora_speed8_yaw6_wind6_off1_noise5.png, 6, -10.1
siwirora_speed7_yaw1_wind2_off2_noise4.png, 1, -39.2
siwirora_speed7_yaw7_wind6_off1_noise6.png, 7, -0.7
siwirora_speed4_yaw6_wind4_off1_noise7.png, 6, -5.2
siwirora_speed3_yaw6_wind2_off2_noise4.png, 6, -1.5
siwirora_speed2_yaw10_wind1_off1_noise3.png, 10, 17.8
siwirora_speed9_yaw3_wind1_off2_noise5.png, 3, -35.9
siwirora_speed5_yaw1_wind6_off2_noise7.png, 1, -28.0
siwirora_speed2_yaw2_wind1_off2_noise2.png, 2, -23.1
siwirora_speed5_yaw9_wind3_off1_noise8.png, 9, 17.7
siwirora_speed8_yaw1_wind5_off1_noise6.png, 1, -36.5
siwirora_speed5_yaw2_wind6_off1_noise8.png, 2, -29.0
siwirora_speed1_yaw9_wind2_off1_noise3.png, 9, 10.2
siwirora_speed7_yaw9_wind6_off2_noise2.png, 9, 9.9
siwirora_speed9_yaw8_wind2_off2_noise3.png, 8, 14.8
siwirora_speed4_yaw10_wind5_off1_noise2.png, 10, 13.1
siwirora_speed5_yaw9_wind5_off2_noise5.png, 9, 11.5
siwirora_speed4_yaw5_wind4_off2_noise1.png, 5, -13.3
siwirora_speed4_yaw1_wind3_off1_noise6.png, 1, -24.1
siwirora_speed8_yaw2_wind6_off2_noise4.png, 2, -19.5
siwirora_speed8_yaw5_wind1_off1_noise4.png, 5, -14.7
siwirora_speed6_yaw7_wind2_off1_noise3.png, 7, -0.3
siwirora_speed3_yaw11_wind2_off1_noise3.png, 11, 16.9
siwirora_speed9_yaw3_wind5_off2_noise3.png, 3, 0.8
siwirora_speed5_yaw2_wind6_off1_noise4.png, 2, -25.9
siwirora_speed3_yaw6_wind5_off1_noise5.png, 6, -5.6
siwirora_speed6_yaw6_wind3_off2_noise4.png, 6, -3.9
siwirora_speed1_yaw6_wind6_off1_noise6.png, 6, -2.0
siwirora_speed7_yaw7_wind5_off2_noise3.png, 7, -1.1
siwirora_speed8_yaw7_wind2_off2_noise2.png, 7, -1.7
siwirora_speed8_yaw1_wind1_off2_noise2.png, 1, -36.9
siwirora_speed7_yaw2_wind1_off1_noise5.png, 2, -32.3
siwirora_speed9_yaw8_wind6_off1_noise5.png, 8, 1.3
siwirora_speed8_yaw1_wind4_off1_noise3.png, 1, -28.7
siwirora_speed7_yaw11_wind1_off2_noise2.png, 11, 21.8
siwirora_speed9_yaw9_wind5_off1_noise4.png, 9, 28.2
siwirora_speed7_yaw4_wind3_off1_noise1.png, 4, -14.6
siwirora_speed5_yaw8_wind4_off1_noise8.png, 8, -9.9
siwirora_speed7_yaw6_wind5_off1_noise3.png, 6, -5.4
siwirora_speed8_yaw1_wind6_off1_noise8.png, 1, -30.4
siwirora_speed3_yaw2_wind2_off1_noise6.png, 2, -19.6
siwirora_speed4_yaw9_wind5_off1_noise3.png, 9, 19.8
siwirora_speed7_yaw1_wind6_off2_noise7.png, 1, -43.0
siwirora_speed4_yaw3_wind2_off1_noise3.png, 3, -20.2
siwirora_speed3_yaw1_wind2_off1_noise1.png, 1, -18.2
siwirora_speed9_yaw6_wind3_off2_noise7.png, 6, -7.8
