outlier_identifier,label
wt3_ROT3_2023-07-16_16_19_45_088_+0200, reflection
wt3_ROT1_2023-07-01_18_43_38_361_+0200, trigger
wt2_ROT2_2023-02-23_15_26_03_115_+0100, slow
wt3_ROT1_2023-07-01_09_59_27_905_+0200, reflection
wt1_ROT3_2023-03-18_14_23_21_677_+0100, slow
wt3_ROT3_2023-07-01_20_05_38_032_+0200, trigger
wt1_ROT2_2023-02-12_12_57_18_411_+0100, slow
wt2_ROT3_2023-01-20_12_07_18_490_+0100, slow
wt1_ROT2_2023-03-10_07_41_54_086_+0100, reflection
wt3_ROT3_2023-07-26_21_05_52_853_+0200, reflection
wt1_ROT2_2023-03-10_07_44_18_761_+0100, reflection
wt3_ROT1_2023-07-03_07_23_49_090_+0200, reflection
wt1_ROT3_2023-07-27_10_05_32_860_+0200, reflection
wt1_ROT2_2023-04-28_18_59_43_349_+0200, slow
wt1_ROT2_2023-01-29_09_41_13_163_+0100, reflection
wt3_ROT2_2023-08-01_08_09_37_802_+0200, reflection
wt1_ROT2_2023-01-10_09_12_14_167_+0100, reflection
wt3_ROT1_2023-07-02_07_03_43_702_+0200, trigger
wt1_ROT3_2023-07-18_07_39_28_386_+0200, slow
wt3_ROT3_2023-07-02_06_38_36_895_+0200, reflection
wt3_ROT1_2023-07-02_09_53_11_380_+0200, reflection
wt3_ROT3_2023-07-02_09_47_04_731_+0200, trigger
wt3_ROT2_2023-07-02_09_32_56_353_+0200, reflection
wt3_ROT1_2023-08-01_17_05_38_457_+0200, trigger
wt1_ROT2_2023-01-19_13_18_58_535_+0100, reflection
wt1_ROT1_2023-03-23_09_09_10_178_+0100, reflection
wt1_ROT1_2023-06-29_11_35_13_558_+0200, slow
wt1_ROT2_2023-06-01_09_55_39_383_+0200, slow
wt3_ROT2_2023-07-12_09_21_38_339_+0200, trigger
wt1_ROT2_2023-04-11_10_04_22_515_+0200, reflection
wt1_ROT3_2023-03-18_17_07_37_797_+0100, slow
wt3_ROT3_2023-07-23_11_45_02_679_+0200, reflection
wt3_ROT2_2023-07-29_16_19_22_067_+0200, trigger
